"ID";"Тип";"Название";"Артикул";"Код";"pathName (row)";"productFolder.name";"productFolder.pathName";"productFolder.productFolder.name";"Цена продажи";"Цена закупки";"Остаток"
"9bef87fb-76e0-11f1-0a80-04ba00024c21";"product";"Перфоратор 8030B-0 (без АКБ и ЗУ)";"FB-8030B-0(301)";"00214";"";;;;"0.00";"0.00";"0"
"9bf37baa-76e0-11f1-0a80-04ba00024c25";"product";"Перфоратор 8030B-9";"FB-8030B-9(301)";"00281";"";;;;"13440.00";"11200.00";"0"
"9bf7ea08-76e0-11f1-0a80-04ba00024c29";"product";"Перфоратор 8026B (без АКБ и ЗУ)";"FB-8026B-0(302)";"00276";"";;;;"0.00";"0.00";"0"
"9bfcc8f4-76e0-11f1-0a80-04ba00024c2d";"product";"Перфоратор 8026B-6";"FB-8026B-6(302)";"00227";"";;;;"0.00";"0.00";"0"
"9c019579-76e0-11f1-0a80-04ba00024c31";"product";"Перфоратор FBH-05-22";"FBH-05-22-4(304)";"00256";"";;;;"0.00";"0.00";"0"
"9c0575f6-76e0-11f1-0a80-04ba00024c35";"product";"Перфоратор FBH-05-24";"FBH-05-24-8(303N)";"00151";"";;;;"9600.00";"8000.00";"0"
"9c0a588b-76e0-11f1-0a80-04ba00024c39";"product";"Отбойный молоток FB-20-8040";"FB-20-8040-8(311)";"00237";"";;;;"0.00";"0.00";"0"
"9c0e7eae-76e0-11f1-0a80-04ba00024c3d";"product";"УШМ 5230B";"FB-5230B-6(403)";"00165";"";;;;"7080.00";"5900.00";"0"
"9c12d85f-76e0-11f1-0a80-04ba00024c41";"product";"УШМ 5030B";"FB-5030B-6(402)";"00253";"";;;;"0.00";"0.00";"0"
"9c17542a-76e0-11f1-0a80-04ba00024c45";"product";"УШМ 20-125 20В";"FBH-20-125-20-8(405)";"00207";"";;;;"0.00";"0.00";"0"
"9c1fd33a-76e0-11f1-0a80-04ba00024c49";"product";"Цепная пила 8305N";"FB-8305N-6(501N)";"00249";"";;;;"6600.00";"5500.00";"0"
"9c248e93-76e0-11f1-0a80-04ba00024c4d";"product";"Цепная пила телескопическая FB-8205";"FB-8205";"00232";"";;;;"6360.00";"5300.00";"0"
"9c294ac9-76e0-11f1-0a80-04ba00024c51";"product";"Цепная пила 8355B";"FB-8355B-6(502)";"00229";"";;;;"9480.00";"7900.00";"0"
"9c2d2457-76e0-11f1-0a80-04ba00024c55";"product";"Цепная пила 40-16";"FB-40-16-4(506)";"00197";"";;;;"0.00";"0.00";"0"
"9c317c09-76e0-11f1-0a80-04ba00024c59";"product";"Циркулярная пила FB-150";"FB-150-6(511)";"00272";"";;;;"8640.00";"7200.00";"0"
"9c358da9-76e0-11f1-0a80-04ba00024c5d";"product";"Сабельная пила 02-18";"FB-02-18-4(523)";"00230";"";;;;"6600.00";"5500.00";"0"
"9c399f4b-76e0-11f1-0a80-04ba00024c61";"product";"Лобзик FB-8155";"FB-8155-4(541)";"00246";"";;;;"6720.00";"5600.00";"0"
"9c3da782-76e0-11f1-0a80-04ba00024c65";"product";"Ножницы по металлу FB-806";"FB-806-4(901)";"00195";"";;;;"0.00";"0.00";"0"
"9c416cbe-76e0-11f1-0a80-04ba00024c69";"product";"Ножницы по металлу FB-807";"FB-807-4(902)";"00299";"";;;;"8160.00";"6800.00";"0"
